,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12390,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19926175.0,19926175.0,False,,1,,,,2025-09-25T22:54:00.000Z,109354.1131765079,74643827118.61588,59.313,-0.05554456,-3.51106081,-6.65662694,-2.24409965,-8.56341226,2.02568158,2179009196124.9023,58.3098,2296436376706.67,,2025-09-25T22:54:00.000Z,,,,,,2025-09-25 17:56:28.826187
1,1027,Ethereum,ETH,ethereum,10830,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120703648.4492873,120703648.4492873,True,,2,,,,2025-09-25T22:55:00.000Z,3886.3787384910306,68373661630.5704,109.2977,-0.53805296,-6.39310839,-15.36277853,-15.31339424,0.4792279,60.31848634,469100092991.606,12.5557,469100092991.61,,2025-09-25T22:55:00.000Z,,,,,,2025-09-25 17:56:28.826187
2,825,Tether USDt,USDT,tether,149441,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,173440544667.77493,178071777667.48724,True,,3,,,,2025-09-25T22:54:00.000Z,1.0003670180709903,198204435429.61166,55.3412,-0.00771933,-0.00899508,0.00429262,0.02586342,-0.01434375,-0.00714055,173504200481.9104,4.6402,178137133227.82,,2025-09-25T22:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-09-25 17:56:28.826187
3,52,XRP,XRP,xrp,1709,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59777241479.0,99985800180.0,False,,4,,,,2025-09-25T22:54:00.000Z,2.750811044351391,9183878399.948406,49.9796,-0.09085341,-6.6110153,-10.55196112,-8.6829604,-15.1886185,28.20913666,164435896061.29327,4.4009,275081104435.14,,2025-09-25T22:54:00.000Z,,,,,,2025-09-25 17:56:28.826187
4,1839,BNB,BNB,bnb,2760,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,139185906.75,139185906.75,False,,5,,,,2025-09-25T22:54:00.000Z,948.7382796447233,4544657566.999804,26.3277,-0.34996845,-6.79905583,-3.62602911,9.74309962,12.91119654,46.64922942,132050997720.78589,3.5342,132050997720.79,,2025-09-25T22:54:00.000Z,,,,,,2025-09-25 17:56:28.826187
5,5426,Solana,SOL,solana,1005,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,543389445.8665589,610458841.368239,True,,6,525236893.3,102070041567.32411,,2025-09-25T22:54:00.000Z,194.33143952632565,11903431307.282818,42.5397,-1.02881268,-8.13642876,-21.43511373,-1.00962181,2.67994573,36.05364946,105597653238.6608,2.8262,118631345414.66,,2025-09-25T22:54:00.000Z,,,,,,2025-09-25 17:56:28.826187
6,3408,USDC,USDC,usd-coin,32120,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'xlayer-ecosystem']",,73990173814.15991,73990173814.15991,False,,7,60901219650.23,60884576417.89278,,2025-09-25T22:54:00.000Z,0.9997267175857427,26732232978.45364,74.5837,-0.01997034,-0.00092312,0.0055828,-0.02054387,-0.0450748,-0.02205848,73969953600.82866,1.9793,73969953600.83,,2025-09-25T22:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-09-25 17:56:28.826187
7,74,Dogecoin,DOGE,dogecoin,1312,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,151093436383.70523,151093436383.70523,True,,8,,,,2025-09-25T22:54:00.000Z,0.223468795195222,4414412267.07348,29.1554,-0.51957181,-7.47337552,-19.71334864,2.11637219,-7.89965395,38.42430671,33764668190.57253,0.9037,33764668190.57,,2025-09-25T22:54:00.000Z,,,,,,2025-09-25 17:56:28.826187
8,1958,TRON,TRX,tron,1235,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94665742241.61401,94665736173.14171,True,,9,94667886298.43,31540680031.195312,,2025-09-25T22:54:00.000Z,0.3331719051143365,1013518344.6882775,58.6311,-0.14982974,-1.57681046,-5.05674933,-5.35899837,4.04512892,21.98271754,31539965691.70126,0.8441,31539963669.86,,2025-09-25T22:54:00.000Z,,,,,,2025-09-25 17:56:28.826187
9,2010,Cardano,ADA,cardano,1587,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35800453490.387695,44994687582.639366,False,,10,37997904336.0,29138314525.684086,,2025-09-25T22:55:00.000Z,0.7668400411776879,1877593783.9887261,75.8522,-0.21786319,-5.87855728,-16.99472362,-11.60081126,-8.21963854,36.86469096,27453221228.748802,0.7347,34507801853.0,,2025-09-25T22:55:00.000Z,,,,,,2025-09-25 17:56:28.826187
10,29470,Ethena USDe,USDe,ethena-usde,219,2024-02-20T11:05:01.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-labs-portfolio', 'dragonfly-capital-portfolio', 'usd-stablecoin', 'eigenlayer-ecosystem', 'binance-ecosystem', 'binance-listing', 'xlayer-ecosystem']",,14350905859.287287,14350905859.287287,True,,11,,,,2025-09-25T22:54:00.000Z,0.9995441853748265,1446009566.4114785,48.6329,0.0051654,-0.13781374,-0.15532926,-0.15093024,-0.16518117,-0.06925683,14344364506.512135,0.3838,14344364506.51,,2025-09-25T22:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,2025-09-25 17:56:28.826187
11,1975,Chainlink,LINK,chainlink,2099,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'interoperability', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'defi-2', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets-protocols', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'energi-ecosystem', 'x-layer-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'wlfi-ecosystem']",1000000000.0,678099970.4527867,1000000000.0,False,,13,,,,2025-09-25T22:54:00.000Z,20.25003573181269,1187309177.4457307,45.6409,-0.51323606,-6.50573499,-17.92888625,-17.68509203,5.23656002,55.10753252,13731548631.41006,0.3674,20250035731.81,,2025-09-25T22:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-09-25 17:56:28.826187
12,32196,Hyperliquid,HYPE,hyperliquid,160,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing']",1000000000.0,336685219.0,999584316.0,False,,12,333931719.0,13622423323.562931,,2025-09-25T22:54:00.000Z,40.79403826733492,765719319.4342134,38.2788,-1.88270709,-11.37779654,-29.89144456,-16.50603559,-7.01980647,11.69686069,13734749707.932037,0.3673,40794038267.33,,2025-09-25T22:54:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-09-25 17:56:28.826187
13,5805,Avalanche,AVAX,avalanche,975,2020-07-13T00:00:00.000Z,"['smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets-protocols', 'layer-1', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",715748719.0,422275285.48916084,457277985.48916084,False,,14,,,,2025-09-25T22:55:00.000Z,29.05985540011088,1702924391.7540195,19.8424,0.05162252,-10.18331215,-16.53865139,20.11144082,11.17220293,65.10888379,12271258735.355555,0.3284,20799554276.95,,2025-09-25T22:55:00.000Z,,,,,,2025-09-25 17:56:28.826187
14,512,Stellar,XLM,stellar,757,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets-protocols', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",50001806812.0,31894732435.94246,50001786886.69551,False,,15,31531408660.0,11093423011.237495,,2025-09-25T22:54:00.000Z,0.35182135789925395,321559756.99795383,38.7683,-0.00594796,-6.26933126,-11.68330135,-11.01981329,-21.12253246,48.25729392,11221248075.446655,0.3003,17591703570.01,,2025-09-25T22:54:00.000Z,,,,,,2025-09-25 17:56:28.826187
0,1,Bitcoin,BTC,bitcoin,12390,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19926175.0,19926175.0,False,,1,,,,2025-09-25T22:55:00.000Z,109326.28420696846,74679147699.81635,59.27,-0.09728969,-3.52216453,-6.67219232,-2.2314332,-8.58790774,2.01058402,2178454671207.7896,58.295,2295851968346.34,,2025-09-25T22:55:00.000Z,,,,,,2025-09-25 17:57:29.014531
1,1027,Ethereum,ETH,ethereum,10830,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120703648.4492873,120703648.4492873,True,,2,,,,2025-09-25T22:56:00.000Z,3887.8844297456353,68230928987.03133,108.6506,-0.50735765,-6.38847496,-15.32194419,-15.33791657,0.58048666,60.41111543,469281835419.475,12.5606,469281835419.47,,2025-09-25T22:56:00.000Z,,,,,,2025-09-25 17:57:29.014531
2,825,Tether USDt,USDT,tether,149441,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,173440544667.77493,178071777667.48724,True,,3,,,,2025-09-25T22:55:00.000Z,1.000368006949481,198303948721.04797,55.4205,-0.00471603,0.00642628,0.00904616,0.02471188,0.0033217,-0.00145214,173504371993.53442,4.6439,178137309319.18,,2025-09-25T22:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-09-25 17:57:29.014531
